"","Squad","Comp","Player","Nation","Pos","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG"
"2564","Real Sociedad","La Liga","Diego Rico","ESP","DF",41,61,93,60,61,61,81,80,22,99,85,82,64,36,85,80,69,61,40,83,77,42
"2565","Real Sociedad","La Liga","Umar Sadiq","NGA","FW",1,1,23,1,1,6,0,18,12,98,20,6,5,1,63,92,85,1,2,50,5,1
"2566","Real Sociedad","La Liga","David Silva","ESP","MF",70,73,68,73,73,81,32,28,32,92,34,92,86,57,91,84,88,78,47,91,85,80
"2567","Real Sociedad","La Liga","Alex Sola","ESP","DF",16,13,15,13,14,15,47,28,64,28,92,65,24,13,66,78,58,15,7,68,82,58
"2568","Real Sociedad","La Liga","Alexander Sørloth","NOR","FW",90,84,70,84,84,87,55,64,56,82,20,84,85,55,91,80,85,85,55,93,84,80
"2569","Real Sociedad","La Liga","Beñat Turrientes","ESP","MF,FW",8,2,1,2,2,6,2,18,50,10,98,65,5,5,54,20,7,2,4,46,4,1
"2570","Real Sociedad","La Liga","Igor Zubeldia","ESP","DF",77,89,93,88,89,90,85,95,22,63,59,77,80,68,82,69,31,87,66,90,78,41
"2572","Real Sociedad","La Liga","Martín Zubimendi","ESP","MF",96,99,99,99,99,99,94,100,12,72,20,79,92,84,85,70,7,94,80,91,77,6
"2575","Reims","Ligue 1","Emmanuel Agbadou","CIV","DF",73,87,93,86,87,87,89,96,22,44,20,38,80,83,59,59,42,93,89,81,70,49
"2576","Reims","Ligue 1","Valentin Atangana Edoa","FRA","MF",8,5,8,4,5,11,12,18,41,5,64,41,2,13,33,1,0,4,8,42,4,1
"2577","Reims","Ligue 1","Folarin Balogun","USA","FW",98,98,91,98,98,98,85,88,32,82,20,57,90,84,80,67,96,98,95,90,76,98
"2578","Reims","Ligue 1","Mitchell van Bergen","NED","FW,DF",70,37,12,36,37,26,36,37,99,48,45,57,41,42,48,46,34,52,34,79,81,79
"2579","Reims","Ligue 1","El Bilal Touré","MLI","FW",3,1,10,1,1,6,10,18,22,17,45,3,2,10,38,0,0,1,1,57,59,35
"2580","Reims","Ligue 1","Maxime Busi","BEL","DF",44,41,37,41,42,43,55,48,74,33,80,29,41,50,33,35,19,51,43,66,64,38
"2581","Reims","Ligue 1","Jens Cajuste","SWE","MF",77,58,33,57,58,49,43,37,96,79,20,65,46,45,54,53,41,67,61,69,64,35
"2582","Reims","Ligue 1","Thibault De Smet","BEL","DF",46,65,87,64,65,66,85,77,22,44,59,76,67,31,89,85,97,82,66,85,79,80
"2584","Reims","Ligue 1","Ibrahim Diakité","GUI","DF",3,3,26,3,3,6,47,18,22,75,83,10,2,5,48,7,5,4,6,48,10,2
"2586","Reims","Ligue 1","Kamory Doumbia","MLI","MF",58,47,30,46,47,49,15,18,85,63,80,58,50,34,76,74,77,64,44,83,83,84
"2590","Reims","Ligue 1","Alexis Flips","FRA","FW,MF",85,72,52,72,73,87,19,48,50,28,52,65,71,57,78,69,78,86,73,85,76,76
"2591","Reims","Ligue 1","Thomas Foket","BEL","DF",52,72,95,72,72,74,85,84,12,13,20,65,71,60,76,67,74,82,75,77,68,44
"2592","Reims","Ligue 1","Andrew Gravillon","GLP","DF",24,42,89,41,42,46,85,67,12,3,59,18,35,50,25,28,12,43,42,52,52,18
"2594","Reims","Ligue 1","Noah Holm","NOR","FW,MF",12,6,5,6,6,11,36,28,56,5,59,72,5,10,42,7,4,3,11,34,2,1
"2595","Reims","Ligue 1","Junya Ito","JPN","FW",93,97,95,96,97,98,81,88,12,21,20,60,87,83,76,64,84,97,92,88,74,88
"2596","Reims","Ligue 1","Check Keita","FRA","DF",12,24,81,24,24,30,68,37,12,87,89,93,27,8,76,84,89,35,17,78,88,88
"2599","Reims","Ligue 1","Banzouzi Locko","FRA","DF",29,43,71,42,43,49,63,70,22,3,34,29,46,50,42,44,30,51,44,66,64,37
"2600","Reims","Ligue 1","Dion Lopy","SEN","MF",73,55,33,54,55,58,24,48,88,44,45,53,46,45,54,53,42,63,51,76,71,56
"2601","Reims","Ligue 1","Myziane Maolida","FRA","MF,FW",14,8,7,8,9,11,15,18,64,17,34,79,18,2,73,97,98,18,7,72,97,98
"2602","Reims","Ligue 1","Azor Matusiwa","NED","MF",73,87,95,87,87,90,81,89,12,79,20,65,80,71,80,68,86,95,86,90,79,93
"2605","Reims","Ligue 1","Marshall Munetsi","ZIM","MF",90,93,87,92,93,93,76,90,32,87,20,55,82,87,48,53,25,94,94,75,63,12
"2609","Reims","Ligue 1","Kaj Sierhuis","NED","FW,MF",24,7,1,7,7,6,5,18,85,13,73,71,14,2,70,94,96,10,2,67,91,89
"2612","Reims","Ligue 1","Arber Zeneli","KVX","FW,MF",52,40,25,40,40,46,12,18,82,48,89,62,38,19,76,76,80,49,40,67,66,42
"2614","Rennes","Ligue 1","Doğan Alemdar","TUR","GK",5,12,58,12,12,15,100,43,22,59,100,58,18,19,48,30,5,12,11,55,51,12
"2615","Rennes","Ligue 1","Lorenz Assignon","TOG","DF",19,9,4,9,9,11,63,28,74,9,80,97,18,8,66,83,47,13,2,73,97,93
"2617","Rennes","Ligue 1","Jeanöel Belocian","FRA","DF",10,17,54,16,17,22,63,37,22,10,96,99,43,5,87,100,99,29,8,81,98,98
"2621","Rennes","Ligue 1","Jeremy Doku","BEL","MF,FW",70,48,25,48,48,46,25,43,95,54,34,68,62,34,85,85,49,59,42,79,76,44
"2622","Rennes","Ligue 1","Désiré Doué","FRA","MF,FW",58,45,26,45,45,43,19,18,91,72,52,74,62,39,82,81,42,51,41,69,67,22
"2625","Rennes","Ligue 1","Amine Gouiri","FRA","FW,MF",85,88,81,88,88,90,72,84,41,75,20,81,96,75,95,89,77,93,73,93,84,89
"2628","Rennes","Ligue 1","Arnaud Kalimuendo","FRA","FW",73,70,60,70,70,80,32,43,50,44,20,80,79,65,82,74,14,77,69,78,70,18
"2629","Rennes","Ligue 1","Gaëtan Laborde","FRA","FW",4,9,55,9,9,15,32,18,12,84,20,29,14,13,54,39,8,15,9,64,79,55
"2630","Rennes","Ligue 1","Lovro Majer","CRO","MF,FW",81,61,37,61,61,61,36,52,91,59,34,81,79,42,92,90,70,73,51,87,82,65
"2632","Rennes","Ligue 1","Birger Meling","NOR","DF",62,48,30,48,48,39,81,56,95,54,59,83,67,39,86,87,55,56,39,79,77,47
"2633","Rennes","Ligue 1","Warmed Omari","FRA","DF",29,51,97,50,51,52,94,77,12,48,59,58,64,34,86,86,52,64,44,82,80,57
"2636","Rennes","Ligue 1","Ibrahim Salah","MAR","FW,MF",24,8,1,8,8,6,10,18,85,17,45,61,12,8,59,59,15,12,11,53,44,9
"2638","Rennes","Ligue 1","Baptiste Santamaria","FRA","MF",55,67,73,66,67,66,76,81,50,67,34,72,82,55,89,84,46,76,57,86,79,55
"2639","Rennes","Ligue 1","Djed Spence","ENG","DF",12,23,73,23,23,30,63,48,12,5,52,48,24,13,66,70,25,26,25,50,47,8
"2640","Rennes","Ligue 1","Kamaldeen Sulemana","GHA","FW,MF",26,12,4,12,12,11,2,18,85,38,59,76,24,5,76,95,83,23,8,76,97,95
"2641","Rennes","Ligue 1","Flavien Tait","FRA","MF",77,65,45,64,65,66,36,60,82,63,59,79,86,55,92,89,66,81,49,91,89,90
"2644","Rennes","Ligue 1","Karl Toko Ekambi","CMR","FW,MF",32,36,44,35,36,39,43,37,56,48,20,78,60,13,91,98,94,45,27,79,82,62
"2645","Rennes","Ligue 1","Hamari Traoré","MLI","DF",77,89,91,88,89,87,94,93,32,24,20,79,96,75,95,89,77,94,77,93,83,83
"2646","Rennes","Ligue 1","Adrien Truffert","FRA","DF",70,74,70,73,74,80,55,77,41,13,20,80,84,68,85,76,17,83,74,79,70,16
"2648","Rennes","Ligue 1","Chimuanya Ugochukwu","FRA","MF",58,53,40,52,53,52,51,52,82,48,85,84,64,48,78,75,22,62,53,72,67,21
"2649","Rennes","Ligue 1","Christopher Wooh","CMR","DF",24,40,83,40,41,46,72,70,12,3,85,90,58,34,82,83,46,46,37,68,67,24
"2650","Rennes","Ligue 1","Xeka","POR","MF",12,22,68,22,22,26,81,48,22,59,20,98,35,16,76,86,54,27,17,69,76,43
"2651","Roma","Serie A","Tammy Abraham","ENG","FW",99,80,50,80,80,80,47,60,88,63,20,71,79,68,80,69,51,88,60,92,84,46
"2654","Roma","Serie A","Andrea Belotti","ITA","FW",77,44,17,43,44,39,25,37,98,38,45,66,53,45,66,65,42,58,24,89,94,83
"2656","Roma","Serie A","Edoardo Bove","ITA","MF",46,38,26,37,38,36,43,48,85,44,93,76,35,34,54,51,26,35,32,56,56,5
"2657","Roma","Serie A","Mohamed Camara","GUI","MF",29,28,30,28,28,33,43,28,64,13,94,53,18,28,33,26,8,24,15,67,70,16
"2658","Roma","Serie A","Zeki Çelik","TUR","DF",52,58,58,57,58,55,76,70,69,67,77,77,60,45,76,70,53,65,35,88,86,55
"2660","Roma","Serie A","Bryan Cristante","ITA","MF,DF",96,97,91,97,97,98,81,97,22,63,20,72,82,71,82,68,36,92,63,95,84,35
"2663","Roma","Serie A","Paulo Dybala","ARG","MF,FW",55,64,68,64,64,68,47,56,41,79,34,78,80,55,88,83,88,77,36,94,93,86
"2666","Roma","Serie A","Roger Ibanez","BRA","DF",90,96,97,96,96,96,89,99,12,44,45,60,85,86,63,59,3,94,72,94,83,21
"2667","Roma","Serie A","Rick Karsdorp","NED","DF",24,29,44,29,29,33,32,37,50,72,45,66,32,22,66,68,49,36,18,78,84,50
"2669","Roma","Serie A","Marash Kumbulla","ALB","DF",10,10,18,10,10,22,2,28,22,6,96,68,14,8,63,72,55,6,5,56,54,8
"2670","Roma","Serie A","Diego Llorente","ESP","DF",12,21,63,21,21,22,100,52,32,72,70,72,35,19,73,82,75,29,14,76,87,59
"2673","Roma","Serie A","Gianluca Mancini","ITA","DF",93,96,93,95,96,96,76,95,22,96,45,73,82,73,80,67,31,92,65,95,83,27
"2674","Roma","Serie A","Nemanja Matić","SRB","MF",93,70,42,69,70,58,81,73,96,72,34,73,80,63,85,77,74,81,54,90,84,49
"2675","Roma","Serie A","Filippo Missori","ITA","DF",3,5,52,5,6,11,100,37,12,1,45,3,5,5,54,33,15,6,5,56,52,7
"2679","Roma","Serie A","Lorenzo Pellegrini","ITA","MF",81,89,87,88,89,90,81,77,32,82,52,74,80,68,82,69,51,91,53,97,90,91
"2681","Roma","Serie A","Stephan El Shaarawy","ITA","DF,MF",70,57,37,56,57,49,43,48,93,84,64,68,80,42,92,92,97,76,40,92,94,85
"2682","Roma","Serie A","Eldor Shomurodov","UZB","FW",8,3,2,3,3,6,13,18,50,9,89,41,9,2,63,85,76,7,1,66,99,95
"2683","Roma","Serie A","Chris Smalling","ENG","DF",81,95,100,94,95,93,94,98,12,100,45,82,91,71,92,79,97,96,64,98,90,96
"2684","Roma","Serie A","Ola Solbakken","NOR","MF,FW",26,20,17,19,20,30,12,18,64,5,64,59,24,10,70,79,67,20,9,71,81,39
"2685","Roma","Serie A","Leonardo Spinazzola","ITA","DF",58,64,63,63,64,64,63,75,64,75,59,74,55,57,48,50,16,71,41,89,85,50
"2687","Roma","Serie A","Benjamin Tahirovic","BIH","MF",19,14,12,14,14,19,19,28,64,10,93,49,24,13,66,77,64,19,9,70,85,51
"2689","Roma","Serie A","Matías Viña","URU","DF",3,0,1,0,0,6,2,18,22,2,94,90,5,2,59,59,36,3,0,62,100,98
"2690","Roma","Serie A","Cristian Volpato","ITA","MF",10,8,12,8,8,11,6,18,50,54,99,19,12,1,70,93,91,8,3,63,80,37
"2691","Roma","Serie A","Georginio Wijnaldum","NED","MF",24,31,48,31,31,39,36,48,32,5,45,71,41,25,73,76,64,37,21,78,83,43
"2692","Roma","Serie A","Nicola Zalewski","POL","DF",85,79,63,78,79,81,51,67,64,59,52,68,71,63,73,65,34,75,48,89,81,22
"2693","Roma","Serie A","Nicolò Zaniolo","ITA","MF,FW",24,36,66,36,36,46,29,48,12,59,34,83,24,22,54,51,26,41,16,84,89,66
"2694","Salernitana","Serie A","Emil Bohinen","NOR","MF",52,31,13,31,31,33,9,18,93,33,64,48,46,34,70,72,90,26,46,14,7,33
"2695","Salernitana","Serie A","Federico Bonazzoli","ITA","FW,MF",55,45,31,45,45,46,25,43,85,59,89,20,30,39,33,37,45,30,60,8,7,35
"2696","Salernitana","Serie A","Erik Botheim","NOR","MF,FW",66,33,10,33,33,33,15,37,97,21,83,53,41,45,42,40,52,26,44,16,9,46
"2698","Salernitana","Serie A","Domagoj Bradarić","CRO","DF",81,82,75,82,82,80,81,89,64,82,64,37,77,94,11,32,24,63,96,1,9,38
"2699","Salernitana","Serie A","Dylan Bronn","TUN","DF",55,65,70,64,65,66,68,80,50,67,77,41,66,79,28,41,52,53,86,4,11,48
"2700","Salernitana","Serie A","Antonio Candreva","ITA","MF,DF",93,93,85,93,93,95,72,86,32,48,20,44,90,94,42,51,93,75,98,2,18,94
"2702","Salernitana","Serie A","Lassana Coulibaly","MLI","MF",93,96,93,96,96,98,76,95,12,91,20,39,90,99,11,36,24,76,100,0,11,38
"2703","Salernitana","Serie A","Domen Črnigoj","SVN","MF",10,11,24,11,12,19,7,18,32,38,45,38,5,8,48,28,36,5,12,33,6,35
"2704","Salernitana","Serie A","Flavius Daniliuc","AUT","DF",62,79,91,78,79,74,89,88,41,98,59,30,75,88,22,40,49,60,94,1,9,37
"2706","Salernitana","Serie A","Boulaye Dia","SEN","FW,MF",90,91,81,90,91,87,81,84,56,94,34,34,89,96,28,46,74,70,98,1,15,76
"2707","Salernitana","Serie A","Federico Fazio","ARG","DF",26,43,83,43,43,46,92,70,22,5,34,44,55,52,59,59,76,42,61,16,18,68
"2709","Salernitana","Serie A","Norbert Gyömbér","SVK","DF",62,64,60,64,65,74,32,67,41,28,52,45,67,50,80,73,97,53,71,17,31,95
"2712","Salernitana","Serie A","Grigoris Kastanos","CYP","MF,DF",66,48,26,48,48,46,29,48,93,54,80,32,58,60,48,48,66,36,70,6,6,24
"2715","Salernitana","Serie A","Matteo Lovato","ITA","DF",35,33,33,33,33,33,36,48,74,67,80,31,35,60,15,10,8,24,52,9,3,14
"2716","Salernitana","Serie A","Giulio Maggiore","ITA","MF",29,35,48,35,35,43,13,48,41,94,73,32,46,36,66,66,86,34,38,37,39,93
"2717","Salernitana","Serie A","Pasquale Mazzocchi","ITA","DF",62,71,73,71,71,74,55,67,41,87,34,54,73,82,38,47,68,58,84,8,22,85
"2720","Salernitana","Serie A","Hans Nicolussi Caviglia","ITA","MF",19,22,37,22,22,26,40,43,50,48,83,34,22,45,17,5,4,16,32,19,5,26
"2722","Salernitana","Serie A","Krzysztof Piątek","POL","FW",85,77,60,76,77,74,51,75,78,90,34,37,80,93,19,37,42,65,95,2,11,49
"2723","Salernitana","Serie A","Lorenzo Pirola","ITA","DF",58,71,77,70,71,74,63,75,32,54,85,39,67,87,15,31,29,47,85,3,10,46
"2724","Salernitana","Serie A","Ivan Radovanović","SRB","MF,DF",16,27,64,27,27,30,68,48,32,88,52,34,30,36,38,31,38,22,34,24,15,61
"2726","Salernitana","Serie A","Junior Sambia","FRA","DF",46,28,12,27,28,30,22,28,91,17,93,30,27,25,54,50,65,21,37,18,8,41
"2730","Salernitana","Serie A","William Troost-Ekong","NGA","DF",12,17,44,17,17,19,92,43,41,59,70,65,22,22,48,36,46,11,22,27,8,39
"2733","Salernitana","Serie A","Tonny Vilhena","NED","MF",90,83,68,82,83,87,47,67,56,90,59,36,73,94,8,27,12,63,97,1,8,27
"2734","Sampdoria","Serie A","Bruno Amione","ARG","DF",58,75,89,74,75,80,68,84,12,54,70,9,50,90,4,16,80,58,90,3,13,68
"2736","Sampdoria","Serie A","Tommaso Augello","ITA","DF",98,98,95,98,98,99,81,98,22,98,34,6,64,100,0,11,69,76,100,0,11,62
"2738","Sampdoria","Serie A","Francesco Caputo","ITA","FW",29,44,75,44,44,49,51,56,22,95,20,3,22,55,11,11,57,26,47,14,16,69
"2739","Sampdoria","Serie A","Omar Colley","GAM","DF",32,55,99,54,55,55,94,80,12,98,20,4,22,68,6,9,50,39,61,12,20,79
"2742","Sampdoria","Serie A","Mickaël Cuisance","FRA","MF",21,25,39,25,25,36,8,18,32,54,45,8,18,16,54,48,96,13,23,30,21,74
"2744","Sampdoria","Serie A","Fabio Depaoli","ITA","DF,MF",3,3,28,3,3,6,100,28,22,59,34,3,2,13,33,0,2,7,5,57,61,97
"2745","Sampdoria","Serie A","Alex Ferrari","ITA","DF",21,35,73,35,35,39,72,60,22,44,52,1,14,50,11,6,35,23,38,21,18,71
"2746","Sampdoria","Serie A","Manolo Gabbiadini","ITA","FW,MF",93,83,64,82,83,84,51,73,69,82,45,6,55,96,1,12,69,68,96,2,12,65
"2747","Sampdoria","Serie A","Koray Günter","GER","DF",14,30,91,29,30,30,100,60,22,99,34,10,27,55,13,6,35,21,44,12,4,22
"2750","Sampdoria","Serie A","Jesé","ESP","FW",19,7,2,7,7,6,7,18,78,21,64,7,9,22,28,2,5,5,11,36,3,20
"2751","Sampdoria","Serie A","Sam Lammers","NED","FW",41,44,48,44,44,49,40,43,56,44,20,4,22,57,9,10,51,32,63,7,6,31
"2752","Sampdoria","Serie A","Mehdi Léris","ALG","MF,DF",81,86,81,86,86,90,63,89,32,91,34,7,58,96,2,16,87,69,97,1,13,72
"2755","Sampdoria","Serie A","Daniele Montevago","ITA","FW",8,8,20,8,9,15,10,28,32,17,52,6,2,10,38,5,33,4,3,53,44,92
"2756","Sampdoria","Serie A","Jeison Murillo","COL","DF",44,42,40,42,42,46,36,52,69,54,87,8,24,63,8,7,40,23,52,9,7,39
"2757","Sampdoria","Serie A","Nicola Murru","ITA","DF",41,28,18,28,28,19,55,43,93,67,92,15,14,42,15,7,39,21,46,10,3,12
"2759","Sampdoria","Serie A","Marios Oikonomou","GRE","DF",8,7,18,7,7,15,5,18,32,28,80,3,5,16,33,2,14,7,10,44,16,63
"2761","Sampdoria","Serie A","Ignacio Pussetto","ARG","MF,DF",5,4,10,4,4,6,3,18,41,67,52,8,2,5,48,11,53,1,7,36,1,6
"2762","Sampdoria","Serie A","Fabio Quagliarella","ITA","FW",49,29,13,29,29,26,29,18,95,33,83,3,22,52,11,4,26,24,45,13,5,27
"2764","Sampdoria","Serie A","Tomás Rincón","VEN","MF",90,89,79,89,89,91,63,86,41,87,45,4,53,99,0,8,33,66,97,1,11,56
"2765","Sampdoria","Serie A","Abdelhamid Sabiri","MAR","MF,FW",38,43,50,43,43,46,40,56,56,79,59,6,22,55,11,11,55,31,49,17,20,77
"2770","Sampdoria","Serie A","Valerio Verre","ITA","MF",38,27,19,27,27,26,8,18,85,72,20,6,12,34,19,10,53,19,35,21,10,52
"2773","Sampdoria","Serie A","Gonzalo Villar","ESP","MF",29,28,30,28,28,33,12,28,64,72,45,3,18,39,19,11,55,18,32,23,15,62
"2774","Sampdoria","Serie A","Harry Winks","ENG","MF",44,67,98,66,67,66,94,81,12,82,34,6,48,87,5,14,70,54,88,4,9,46
"2775","Sampdoria","Serie A","Gerard Yepes","ESP","MF",5,6,22,6,6,11,4,18,32,82,98,8,5,13,38,4,22,5,2,60,70,98
"2776","Sampdoria","Serie A","Alessandro Zanoli","ITA","DF",46,57,68,57,58,55,81,73,56,79,20,4,41,82,6,11,55,44,83,3,5,21
"2778","Sampdoria","Serie A","Filip Đuričić","SRB","MF,FW",85,80,66,80,80,87,36,56,50,90,34,4,48,96,1,8,42,59,92,2,14,72
"2779","Sassuolo","Serie A","Agustín Álvarez Martínez","URU","FW,MF",49,14,1,14,15,6,3,18,98,21,89,19,22,25,42,24,30,13,15,46,32,17
"2781","Sassuolo","Serie A","Kaan Ayhan","TUR","DF",16,22,44,21,22,22,100,52,50,38,77,58,22,31,33,21,24,16,18,45,40,23
"2782","Sassuolo","Serie A","Nedim Bajrami","ALB","FW",35,32,30,32,32,30,25,28,78,82,20,62,27,48,19,15,13,32,29,54,53,39
"2783","Sassuolo","Serie A","Domenico Berardi","ITA","FW",58,68,71,68,68,71,59,73,41,63,34,39,75,77,59,59,85,82,64,86,79,96
"2786","Sassuolo","Serie A","Emil Ceide","NOR","FW",38,18,6,18,18,19,6,18,91,24,94,29,27,22,59,59,72,26,24,52,49,35
"2789","Sassuolo","Serie A","Grégoire Defrel","MTQ","FW",62,46,26,46,46,49,13,18,88,54,20,51,38,60,17,22,19,39,44,35,41,19
"2790","Sassuolo","Serie A","Martin Erlic","CRO","DF",70,85,95,84,85,84,92,93,22,21,73,59,84,87,54,54,91,87,82,77,66,80
"2791","Sassuolo","Serie A","Davide Frattesi","ITA","MF",98,97,89,97,97,99,63,81,12,90,20,45,89,96,25,46,86,93,93,73,62,72
"2792","Sassuolo","Serie A","Abdou Harroui","NED","MF",49,22,6,22,22,19,8,18,96,33,91,58,14,16,48,41,52,18,20,48,43,27
"2793","Sassuolo","Serie A","Matheus Henrique","BRA","MF",73,71,60,70,71,68,55,64,74,84,77,44,69,87,17,34,33,72,67,71,64,65
"2794","Sassuolo","Serie A","Hamed Junior Traorè","CIV","MF,FW",19,24,42,23,24,26,24,28,50,91,20,13,32,28,59,59,72,28,24,57,58,49
"2795","Sassuolo","Serie A","Giorgos Kyriakopoulos","GRE","FW,DF",21,31,60,31,31,36,36,28,32,90,77,33,32,34,48,45,58,33,25,66,67,65
"2796","Sassuolo","Serie A","Armand Lauriente","FRA","FW",70,81,85,80,81,87,59,67,12,67,20,50,80,83,59,59,91,82,75,77,67,79
"2797","Sassuolo","Serie A","Maxime Lopez","FRA","MF",73,82,83,81,82,80,85,88,50,91,45,51,75,86,28,45,65,84,82,67,61,57
"2798","Sassuolo","Serie A","Riccardo Marchizza","ITA","DF",14,10,10,10,10,15,9,18,56,13,99,85,22,19,54,40,51,9,8,55,52,40
"2799","Sassuolo","Serie A","Gian Marco Ferrari","ITA","DF",85,81,66,80,81,77,94,92,74,13,59,37,71,91,11,31,23,85,86,57,57,38
"2801","Sassuolo","Serie A","Pedro Obiang","EQG","MF",35,35,39,35,35,43,29,48,56,13,96,62,50,48,59,59,74,42,32,69,69,71
"2804","Sassuolo","Serie A","Andrea Pinamonti","ITA","FW",81,78,64,78,78,80,51,64,64,88,20,42,73,80,42,50,77,83,73,80,70,86
"2806","Sassuolo","Serie A","Rogério","BRA","DF",96,98,95,98,98,98,92,98,22,6,34,41,89,98,13,38,33,94,95,68,59,53
"2808","Sassuolo","Serie A","Ruan","BRA","DF",49,63,77,63,63,68,63,75,22,3,87,38,66,77,33,43,56,64,59,66,61,58
"2810","Sassuolo","Serie A","Kristian Thorstvedt","NOR","MF",81,46,18,46,46,49,10,28,96,33,70,34,46,73,13,17,13,47,54,32,39,16
"2811","Sassuolo","Serie A","Jeremy Toljan","GER","DF",77,92,98,91,92,90,94,97,22,99,45,29,77,95,11,33,18,89,90,62,58,41
"2813","Sassuolo","Serie A","Nadir Zortea","ITA","DF",16,27,63,26,27,30,89,56,32,21,64,58,32,31,54,49,64,27,28,46,44,27
"2814","Schalke 04","Bundesliga","Éder Álvarez Balanta","COL","MF,FW",8,9,22,10,9,15,2,18,32,82,52,65,9,8,54,38,86,7,11,42,13,31
"2815","Schalke 04","Bundesliga","Mehmet Aydin","GER","DF,FW",32,23,15,24,23,15,51,28,88,72,80,14,18,34,25,12,49,24,25,46,42,78
"2817","Schalke 04","Bundesliga","Marius Bülter","GER","FW,MF",90,92,87,96,93,93,72,90,32,91,20,22,75,100,1,13,46,84,96,11,35,99
"2819","Schalke 04","Bundesliga","Sepp van den Berg","NED","DF",14,28,83,30,28,33,81,60,12,17,34,45,43,52,33,26,78,29,40,27,20,42
"2820","Schalke 04","Bundesliga","Dominick Drexler","GER","MF,FW",66,54,37,58,54,58,19,43,82,67,20,21,53,83,9,16,59,50,69,15,24,51
"2822","Schalke 04","Bundesliga","Florian Flick","GER","MF",12,20,60,22,20,22,81,48,32,84,73,9,22,34,28,14,52,19,20,49,44,80
"2823","Schalke 04","Bundesliga","Michael Frey","SUI","FW",29,35,48,38,35,39,36,28,50,67,59,29,27,52,15,12,46,32,44,22,20,41
"2824","Schalke 04","Bundesliga","Leo Greiml","AUT","DF",10,14,37,15,14,15,100,43,41,54,87,19,9,36,15,1,2,11,25,23,2,3
"2828","Schalke 04","Bundesliga","Marcin Kamiński","POL","DF",12,25,87,27,26,30,100,60,12,1,83,65,41,60,19,8,37,26,49,12,3,4
"2829","Schalke 04","Bundesliga","Kenan Karaman","TUR","FW",46,39,30,43,39,39,43,48,82,44,64,30,38,75,8,6,23,35,57,12,9,16
"2832","Schalke 04","Bundesliga","Alex Král","CZE","MF",73,86,91,91,86,84,94,95,32,33,52,23,71,98,2,17,74,74,97,2,16,7
"2833","Schalke 04","Bundesliga","Tom Krauß","GER","MF",85,91,87,94,91,95,59,81,12,72,20,24,64,98,1,14,58,78,95,8,29,85
"2835","Schalke 04","Bundesliga","Jordan Larsson","SWE","FW,MF",19,18,24,19,18,22,7,18,56,75,59,7,14,34,22,5,25,14,22,31,15,33
"2836","Schalke 04","Bundesliga","Danny Latza","GER","MF",44,35,25,37,35,33,63,52,85,28,73,16,38,75,8,4,14,36,51,21,18,36
"2839","Schalke 04","Bundesliga","Tobias Mohr","GER","DF,MF",38,34,31,36,34,33,43,48,78,59,77,15,35,45,33,31,86,35,39,36,38,75
"2840","Schalke 04","Bundesliga","Florent Mollet","FRA","MF",14,16,30,17,16,19,29,28,50,63,52,7,12,36,17,2,7,17,21,37,22,46
"2841","Schalke 04","Bundesliga","Thomas Ouwejan","NED","DF",35,36,40,39,36,39,32,52,64,67,70,4,30,73,6,4,10,27,53,11,6,9
"2843","Schalke 04","Bundesliga","Sebastian Polter","GER","FW",41,25,13,27,26,22,32,37,91,38,34,17,43,60,22,12,46,33,44,25,13,28
"2846","Schalke 04","Bundesliga","Alexander Schwolow","GER","GK",52,77,100,81,77,74,100,93,12,99,85,17,66,99,0,6,6,69,93,5,19,25
"2847","Schalke 04","Bundesliga","Tim Skarke","GER","FW,MF",14,17,34,19,17,26,12,28,32,44,34,35,14,22,38,21,67,18,22,41,29,60
"2849","Schalke 04","Bundesliga","Simon Terodde","GER","FW",85,70,47,74,70,71,51,64,82,28,34,24,60,91,6,17,68,63,74,25,40,91
"2851","Schalke 04","Bundesliga","Jere Uronen","FIN","DF",19,27,54,29,27,36,29,43,22,24,20,42,12,48,11,3,11,27,36,29,23,47
"2852","Schalke 04","Bundesliga","Maya Yoshida","JPN","DF",73,91,100,95,92,90,100,98,12,98,45,17,64,99,1,13,41,79,97,6,27,67
"2853","Schalke 04","Bundesliga","Rodrigo Zalazar","URU","MF,FW",49,52,52,57,53,55,36,37,64,82,52,34,53,60,38,43,96,52,58,33,42,85
"2854","Sevilla","La Liga","Marcos Acuña","ARG","DF",77,73,60,72,73,71,55,70,74,79,20,53,71,84,25,40,33,70,77,38,49,64
"2857","Sevilla","La Liga","Loïc Bade","FRA","DF",38,54,81,53,54,55,92,80,32,9,34,87,64,39,84,80,96,59,46,76,71,95
"2859","Sevilla","La Liga","Bryan","ESP","FW,DF",35,37,42,37,37,39,29,28,64,82,34,62,41,36,59,59,63,40,29,70,70,89
